# Permanent, git-tracked backup of every row deleted by the companion
# migration 20260911110000_delete_old_romance_worldbuilding_tropes.sql.
# Captured from hosted immediately before deletion, 2026-09-11.
#
# Purpose: Steps 1-3 of convert-romance-worldbuilding-fields already
# converted this data into book_dna.romance_tone/worldbuilding_delivery
# scalar columns (see 20260911100000_backfill_romance_worldbuilding_fields.sql),
# but that backfill does not preserve the raw original book_tropes rows or
# the tropes vocabulary definitions themselves. This file is that raw
# backup, so both are trivially reinstatable if ever needed:
#   - tropes vocabulary rows: re-insert directly using the "tropes_table"
#     section below (id, group_name, spoiler columns).
#   - book_tropes rows: re-insert each "book_tropes_table" row via
#     (select id from books where title = '<title>' and author = '<author>'),
#     trope_id, confidence -- the same title/author-subselect pattern this
#     project always uses instead of raw UUIDs.
#
# === tropes_table (id, group_name, spoiler) ===
melodramatic_romance_subplot	romance_relationships	false
understated_romance	romance_relationships	false
worldbuilding_via_exposition_dump	setting_worldbuilding	false
worldbuilding_woven_into_narrative	setting_worldbuilding	false
#
# === book_tropes_table (trope_id, confidence, book title, book author) ===
melodramatic_romance_subplot	0.6	1Q84	Haruki Murakami
melodramatic_romance_subplot	0.6	A Court of Mist and Fury	Sarah J. Maas
melodramatic_romance_subplot	0.6	A Court of Silver Flames	Sarah J. Maas
melodramatic_romance_subplot	0.6	A Court of Thorns and Roses	Sarah J. Maas
melodramatic_romance_subplot	0.2	A Court of Wings and Ruin	Sarah J. Maas
melodramatic_romance_subplot	0.6	A Dowry of Blood	S.T. Gibson
melodramatic_romance_subplot	0.6	Alchemised	SenLinYu
melodramatic_romance_subplot	0.6	Allegiant	Veronica Roth
melodramatic_romance_subplot	0.6	Breaking Dawn	Stephenie Meyer
melodramatic_romance_subplot	0.2	Caraval	Stephanie Garber
melodramatic_romance_subplot	0.2	Carmilla	J. Sheridan Le Fanu
melodramatic_romance_subplot	0.2	Carry On	Rainbow Rowell
melodramatic_romance_subplot	0.6	Children of Blood and Bone	Tomi Adeyemi
melodramatic_romance_subplot	0.6	City of Ashes	Cassandra Clare
melodramatic_romance_subplot	0.6	City of Bones	Cassandra Clare
melodramatic_romance_subplot	0.6	City of Fallen Angels	Cassandra Clare
melodramatic_romance_subplot	0.6	City of Glass	Cassandra Clare
melodramatic_romance_subplot	0.6	City of Lost Souls	Cassandra Clare
melodramatic_romance_subplot	0.6	Clockwork Prince	Cassandra Clare
melodramatic_romance_subplot	0.6	Clockwork Princess	Cassandra Clare
melodramatic_romance_subplot	0.2	Crown of Midnight	Sarah J. Maas
melodramatic_romance_subplot	0.6	Daughter of Smoke & Bone	Laini Taylor
melodramatic_romance_subplot	0.6	Eclipse	Stephenie Meyer
melodramatic_romance_subplot	0.2	Emily Wilde's Map of the Otherlands	Heather Fawcett
melodramatic_romance_subplot	0.2	Empire of Storms	Sarah J. Maas
melodramatic_romance_subplot	0.6	Empire of the Vampire	Jay Kristoff
melodramatic_romance_subplot	0.2	Fourth Wing	Rebecca Yarros
melodramatic_romance_subplot	0.2	From Blood and Ash	Jennifer L. Armentrout
melodramatic_romance_subplot	0.2	Heartless Hunter	Kristen Ciccarelli
melodramatic_romance_subplot	0.2	House of Earth and Blood	Sarah J. Maas
melodramatic_romance_subplot	0.6	House of Flame and Shadow	Sarah J. Maas
melodramatic_romance_subplot	0.6	Ignite Me	Tahereh Mafi
melodramatic_romance_subplot	0.6	Illuminae	Amie Kaufman, Jay Kristoff
melodramatic_romance_subplot	0.2	Insurgent	Veronica Roth
melodramatic_romance_subplot	0.6	Interview with the Vampire	Anne Rice
melodramatic_romance_subplot	0.6	Iron Flame	Rebecca Yarros
melodramatic_romance_subplot	0.2	Kingdom of Ash	Sarah J. Maas
